time,value
14:23:56,69
14:24:11,69
14:24:18,70
14:24:23,67
14:24:38,66
14:24:53,68
14:24:58,73
14:25:13,72
14:25:18,71
14:25:28,71
14:25:33,70
14:25:38,72
14:25:43,72
14:25:48,73
14:25:58,77
14:26:03,73
14:26:08,71
14:26:23,71
14:26:28,75
14:26:38,76
14:26:43,75
14:26:58,75
14:27:03,73
14:27:08,72
14:27:13,76
14:27:18,76
14:27:23,75
14:27:29,74
14:27:34,75
14:27:49,74
14:28:04,74
14:28:19,74
14:28:24,75
14:28:39,75
14:28:44,77
14:28:49,75
14:28:54,74
14:28:59,73
14:29:14,73
14:29:19,71
14:29:29,70
14:29:34,71
14:29:44,70
14:29:54,69
14:29:59,71
14:30:14,71
14:30:24,73
14:30:29,75
14:30:44,75
14:30:59,74
14:31:04,73
14:31:11,73
14:31:26,73
14:31:31,72
14:31:46,71
14:32:01,71
14:32:06,70
14:32:11,70
14:32:16,71
14:32:26,71
14:32:36,71
14:32:41,73
14:32:56,73
14:33:11,73
14:33:21,74
14:33:26,73
14:33:31,72
14:33:41,71
14:33:46,70
14:33:51,70
14:33:56,69
14:34:01,69
14:34:16,69
14:34:31,69
14:34:41,70
14:34:56,70
14:35:11,70
14:35:16,74
14:35:23,74
14:35:28,75
14:35:33,74
14:35:38,74
14:35:53,74
14:36:03,72
14:36:18,72
14:36:33,72
14:39:46,76
14:39:56,78
14:40:06,77
14:40:21,77
14:40:26,76
14:40:36,76
14:40:41,79
14:40:46,79
14:40:51,78
14:41:06,78
14:41:11,74
14:41:21,74
14:41:31,75
14:41:46,75
14:41:56,74
14:42:11,74
14:42:16,77
14:42:21,78
14:42:36,78
14:42:41,76
14:42:51,77
14:42:56,76
14:43:11,76
14:43:16,72
14:43:21,70
14:43:36,70
14:43:38,70
14:43:53,70
14:43:58,71
14:44:08,73
14:44:18,74
14:44:23,74
14:44:38,74
14:44:43,73
14:44:48,73
14:44:53,74
14:45:03,73
14:45:18,73
14:45:23,73
14:45:28,73
14:45:33,74
14:45:48,74
14:46:03,73
14:46:18,73
14:46:23,72
14:46:28,71
14:46:43,71
14:46:48,74
14:46:53,76
14:47:08,76
14:47:11,75
14:47:21,75
14:47:31,76
14:47:41,73
14:47:56,72
14:48:01,73
14:48:16,73
14:48:21,71
14:48:26,71
14:48:31,70
14:48:36,72
14:48:41,72
14:48:46,71
14:48:51,71
14:49:06,71
14:49:21,71
14:51:08,71
14:51:13,70
14:51:28,70
14:51:43,71
14:51:48,75
